Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10u,C19702
"C10, C13, C17, C19, C21, C23, C25, C27, C29, C4, C6, C7, C8, C9",0402,14,100n,C1525
"C11, C14",0402,2,2u2,C12530
C12,0603,1,4u7,C19666
C15,0402,1,10n,C15195
"C16, C18, C20, C22, C24, C26, C28",0402,7,4u7,C23733
"C2, C3",0402,2,10p,C32949
C5,0402,1,10u,C15525
"J2, J3",JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,2,Conn_01x04_MountingPin,C189895
R1,0402,1,510,C25123
R2,1206,1,120,C17909
U1,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,1,TJA1044GTK/3,C2157795
"U10, U11, U5, U6, U7, U8, U9",ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,7,LPS22HH,C2827824
U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32G431KBUx,C1341901
U3,DFN-6-1EP_1.2x1.2mm_P0.4mm_EP0.3x0.94mm_PullBack,1,NCP176,C233363
U4,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,ICM-42688-P,C1850418
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
