Designator,Mid X,Mid Y,Rotation,Layer
C1,-14.567885,6.101669,150.0,top
C10,-23.500005,1.300003,0.0,top
C11,-13.277261,-21.536078,270.0,top
C12,-11.500005,-19.399997,0.0,top
C13,2.15575,-12.13582,270.0,top
C14,3.933008,-9.999739,0.0,top
C15,10.647739,-21.611078,270.0,top
C16,12.424996,-19.474997,0.0,top
C17,19.331798,-13.837667,180.0,top
C18,21.259163,-13.829761,180.0,top
C19,21.266021,-14.799481,180.0,top
C2,-16.543376,9.854769,240.0,top
C20,-2.662776,-24.715331,180.0,top
C21,3.333008,-18.199739,90.0,top
C22,1.899996,-16.399739,0.0,top
C23,-2.666992,-23.70853,180.0,top
C24,-20.646922,-14.46781,270.0,top
C25,-1.466992,-29.199739,180.0,top
C26,1.133008,-26.999739,90.0,top
C27,-17.718242,10.443546,60.0,top
C28,-19.246922,-12.0,180.0,top
C29,-21.646922,-14.46781,270.0,top
C3,22.722738,-0.836078,270.0,top
C30,-19.246922,-12.96781,180.0,top
C4,24.499996,1.300003,0.0,top
C5,10.722739,19.963922,270.0,top
C6,12.499996,22.100003,0.0,top
C7,-13.277261,19.963922,270.0,top
C8,-11.500005,22.100003,0.0,top
C9,-25.277262,-0.836078,270.0,top
J2,9.599995,5.500003,300.0,top
J3,-9.600005,5.500003,60.0,top
R1,-8.900005,11.000003,150.0,top
R3,-0.666992,-24.199739,90.0,top
U1,-14.218242,8.543546,330.0,top
U10,-0.390005,-20.049998,180.0,top
U11,-19.231921,-14.40781,270.0,top
U2,24.499996,-0.499997,0.0,top
U3,12.499996,20.300003,0.0,top
U4,-11.500005,20.300003,0.0,top
U5,-23.500005,-0.499996,0.0,top
U6,-11.500005,-21.199997,0.0,top
U7,3.933008,-11.799739,0.0,top
U8,12.424996,-21.274997,0.0,top
U9,20.633008,-11.799739,0.0,top
Y1,-1.466992,-26.981564,0.0,top
